,Program_Description,Function_Description,Fund_Description,Location_Description,total_budget,total_fte,num_records
1971,Services To Students With Disabilities (Special Education),Curriculum Development And Instructional Staff Dev,Idea B Capacity - Deaf,Undistributed,765.82,0.0,3
1972,Services To Students With Disabilities (Special Education),Curriculum Development And Instructional Staff Dev,Idea Part B Formula,School ,59586.3045691137,0.0,145
1973,Services To Students With Disabilities (Special Education),Curriculum Development And Instructional Staff Dev,Idea Part B Formula,Summer School,3610.1708546175,0.0,41
1974,Services To Students With Disabilities (Special Education),Curriculum Development And Instructional Staff Dev,Idea Part B Formula,Undistributed,88875.1416527047,0.0,23
1975,Services To Students With Disabilities (Special Education),Curriculum Development And Instructional Staff Dev,Idea Part B Formula,,98.0957919266,0.0,2
1976,Services To Students With Disabilities (Special Education),Curriculum Development And Instructional Staff Dev,Idea Part B Preschool,Undistributed,0.26,0.0,1
1977,Services To Students With Disabilities (Special Education),Curriculum Development And Instructional Staff Dev,State Deaf Education,School ,726.808753969,0.0,3
1978,Services To Students With Disabilities (Special Education),Curriculum Development And Instructional Staff Dev,State Deaf Education,Undistributed,450.77,0.0,1
1979,Services To Students With Disabilities (Special Education),Instruction,Education Jobs,School ,-1.35,0.0,4
1980,Services To Students With Disabilities (Special Education),Instruction,General Operating Fund,School ,29940163.417721845,653.32,2133
1981,Services To Students With Disabilities (Special Education),Instruction,General Operating Fund,,153116.1523350943,4.8,30
1982,Services To Students With Disabilities (Special Education),Instruction,Idea B Capacity - Deaf,School ,58413.781628968005,1.03,13
1983,Services To Students With Disabilities (Special Education),Instruction,Idea B Capacity - Deaf,Undistributed,18197.640000000003,0.0,3
1984,Services To Students With Disabilities (Special Education),Instruction,Idea B Discretionary Deaf,School ,93951.125767454,1.8699999999999999,20
1985,Services To Students With Disabilities (Special Education),Instruction,Idea B Preschool Deaf,Undistributed,0.23,0.0,1
1986,Services To Students With Disabilities (Special Education),Instruction,Idea C Early Intervention,School ,1390.9,0.0,3
1987,Services To Students With Disabilities (Special Education),Instruction,Idea Part B Formula,School ,4347834.839720868,54.53,481
1988,Services To Students With Disabilities (Special Education),Instruction,Idea Part B Formula,Summer School,86689.67516923501,0.0,83
1989,Services To Students With Disabilities (Special Education),Instruction,Idea Part B Formula,Undistributed,1499847.29,0.0,19
1990,Services To Students With Disabilities (Special Education),Instruction,Idea Part B Formula,,733561.0692109843,10.99,33
1991,Services To Students With Disabilities (Special Education),Instruction,Idea Part B Preschool,School ,41772.124381418,1.02,6
1992,Services To Students With Disabilities (Special Education),Instruction,State Deaf Education,School ,824452.0176625608,15.17,83
1993,Services To Students With Disabilities (Special Education),Instruction,State Deaf Education,Summer School,2352.9844227,0.0,1
1994,Services To Students With Disabilities (Special Education),Instruction,State Deaf Education,Undistributed,14131.96,0.0,2
1995,Services To Students With Disabilities (Special Education),Instructional Leadership,General Operating Fund,School ,434.35,0.0,2
1996,Services To Students With Disabilities (Special Education),Instructional Leadership,General Operating Fund,Unallocated,47506.68152644,0.17,11
1997,Services To Students With Disabilities (Special Education),Instructional Leadership,General Operating Fund,Undistributed,1100672.94585789,17.51,34
1998,Services To Students With Disabilities (Special Education),Instructional Leadership,Idea B Capacity - Deaf,Unallocated,70.14,0.0,1
1999,Services To Students With Disabilities (Special Education),Instructional Leadership,Idea Part B Formula,School ,21464.25,0.0,67
2000,Services To Students With Disabilities (Special Education),Instructional Leadership,Idea Part B Formula,Summer School,1557.904191131,0.0,4
2001,Services To Students With Disabilities (Special Education),Instructional Leadership,Idea Part B Formula,Unallocated,250205.89853105805,3.0,25
2002,Services To Students With Disabilities (Special Education),Instructional Leadership,Idea Part B Formula,Undistributed,347724.72,0.0,2
2003,Services To Students With Disabilities (Special Education),Instructional Leadership,Idea Part B Formula,,340.55,0.0,1
2004,Services To Students With Disabilities (Special Education),Other,Capital Projects Fund,School ,20659.78,0.0,3
2005,Services To Students With Disabilities (Special Education),Other,General Operating Fund,School ,6160660.086051903,118.67,471
2006,Services To Students With Disabilities (Special Education),Other,General Operating Fund,Unallocated,159686.09999999998,0.0,163
2007,Services To Students With Disabilities (Special Education),Other,General Operating Fund,Undistributed,2694115.1863037185,135.29,384
2008,Services To Students With Disabilities (Special Education),Other,General Operating Fund,,31737.582985550005,1.05,7
2009,Services To Students With Disabilities (Special Education),Other,Idea B Capacity - Deaf,School ,276.4,0.0,1
2010,Services To Students With Disabilities (Special Education),Other,Idea Part B Formula,School ,549172.0212897277,5.27,306
2011,Services To Students With Disabilities (Special Education),Other,Idea Part B Formula,Summer School,44184.0992132908,0.0,66
2012,Services To Students With Disabilities (Special Education),Other,Idea Part B Formula,Unallocated,672884.626577023,8.0,42
2013,Services To Students With Disabilities (Special Education),Other,Idea Part B Formula,Undistributed,1933852.127655697,0.0,41
2014,Services To Students With Disabilities (Special Education),Other,Idea Part B Formula,,1518.2935729021,0.0,8
2015,Services To Students With Disabilities (Special Education),Other,State Deaf Education,School ,21601.2975941726,0.31,5
2016,Services To Students With Disabilities (Special Education),School Leadership,General Operating Fund,School ,323279.60952219804,5.49,16
2017,Services To Students With Disabilities (Special Education),School Leadership,General Operating Fund,,4329.879273778,0.01,3
2018,Services To Students With Disabilities (Special Education),School Leadership,Idea Part B Formula,School ,5404.108975335,0.0,10
2019,Services To Students With Disabilities (Special Education),School Leadership,Idea Part B Formula,Summer School,5787.169133599,0.0,8
2020,Special Education,Community Services,General Fund,ABD,210.08,0.0,1
2021,Special Education,Community Services,General Fund,Center,0.36,0.0,1
2022,Special Education,Community Services,General Fund,Special Education,5742.17137894,0.0,2
2023,Special Education,Community Services,IDEA-B Formula,"School, Family and Community Education",33636.577437800006,0.5,1
2024,Special Education,Community Services,IDEA-B Formula,Special Education,154337.0308514,2.0,8
2025,Special Education,Community Services,IDEA-B Preschool,Special Education,0.7,0.0,1
2026,Special Education,Community Services,IDEA-B-Deaf,State Deaf,0.53,0.0,2
2027,Special Education,Curriculum & Instructional Staff Development,General Fund,ABD,4712.64462881,0.0,5
2028,Special Education,Curriculum & Instructional Staff Development,General Fund,Center,845.4,0.0,1
2029,Special Education,Curriculum & Instructional Staff Development,General Fund,Health Services,1999.85,0.0,1
2030,Special Education,Curriculum & Instructional Staff Development,General Fund,Homebound,340.21,0.0,1
2031,Special Education,Curriculum & Instructional Staff Development,General Fund,School ,-0.66,0.0,1
2032,Special Education,Curriculum & Instructional Staff Development,General Fund,Special Education,7051.94854919,0.0,7
2033,Special Education,Curriculum & Instructional Staff Development,General Fund,Special Education AH/VH,1035.1526916300002,0.0,2
2034,Special Education,Curriculum & Instructional Staff Development,IDEA-B Formula,ABD,0.09,0.0,1
2035,Special Education,Curriculum & Instructional Staff Development,IDEA-B Formula,Response to Intervention,69946.45700000001,0.0,5
2036,Special Education,Curriculum & Instructional Staff Development,IDEA-B Formula,School ,-2.8600000000000003,0.5,74
2037,Special Education,Curriculum & Instructional Staff Development,IDEA-B Formula,Special Ed Evaluation Services,4725.31,0.0,3
2038,Special Education,Curriculum & Instructional Staff Development,IDEA-B Formula,Special Education,1736547.5601211,23.0,33
2039,Special Education,Curriculum & Instructional Staff Development,IDEA-B Preschool,Prekindergarten Demonstration School,0.38,0.0,1
2040,Special Education,Curriculum & Instructional Staff Development,IDEA-B Preschool,School ,0.3099999999999999,0.0,11
2041,Special Education,Curriculum & Instructional Staff Development,IDEA-B Preschool,Special Education,57450.56,0.0,4
2042,Special Education,Curriculum & Instructional Staff Development,IDEA-B-Deaf,State Deaf,116.07,0.0,4
2043,Special Education,Curriculum & Instructional Staff Development,IDEA-B-Discretionary,State Deaf,1821.7800000000002,0.0,3
2044,Special Education,Curriculum & Instructional Staff Development,IDEA-B-Preshool-Deaf,ABD,-0.71,0.0,1
2045,Special Education,Curriculum & Instructional Staff Development,Visually Impaired,Special Education AH/VH,2396.73,0.0,2
2046,Special Education,"Guidance, Counseling and Evaluation Services",General Fund,ABD,1200.06,0.0,1
2047,Special Education,"Guidance, Counseling and Evaluation Services",General Fund,School ,41455.924753243,0.5,4
2048,Special Education,"Guidance, Counseling and Evaluation Services",General Fund,Special Ed Evaluation Services,648892.652304195,7.5,68
2049,Special Education,"Guidance, Counseling and Evaluation Services",General Fund,Special Education,131623.14219195,1.5,15
2050,Special Education,"Guidance, Counseling and Evaluation Services",General Fund,Special Education AH/VH,2152.3067671,0.0,1
2051,Special Education,"Guidance, Counseling and Evaluation Services",General Fund,State Hospital,100.07,0.0,1
2052,Special Education,"Guidance, Counseling and Evaluation Services",IDEA-B Formula,Center,88909.51061569998,1.0,3
2053,Special Education,"Guidance, Counseling and Evaluation Services",IDEA-B Formula,School ,0.51,0.0,1
2054,Special Education,"Guidance, Counseling and Evaluation Services",IDEA-B Formula,Special Ed Evaluation Services,2710583.6282375,41.32,52
2055,Special Education,"Guidance, Counseling and Evaluation Services",IDEA-B Formula,Special Education,441069.7303542,6.0,10
2056,Special Education,"Guidance, Counseling and Evaluation Services",IDEA-B Preschool,Special Ed Evaluation Services,193781.01344530002,2.44,13
2057,Special Education,"Guidance, Counseling and Evaluation Services",IDEA-B Preschool,Special Education,0.03999999999999998,0.0,2
2058,Special Education,"Guidance, Counseling and Evaluation Services",IDEA-B-Deaf,State Deaf,99.18,0.0,1
2059,Special Education,"Guidance, Counseling and Evaluation Services",IDEA-B-Discretionary,State Deaf,2999.97,0.0,1
2060,Special Education,"Guidance, Counseling and Evaluation Services",Visually Impaired,Special Education AH/VH,0.18,0.0,1
2061,Special Education,Instruction,General Fund,ABD,2636307.156039561,58.0,99
2062,Special Education,Instruction,General Fund,Center,621683.57392934,13.0,33
2063,Special Education,Instruction,General Fund,County Detention Center,135656.9626339,2.0,2
2064,Special Education,Instruction,General Fund,Early Childhood Center,1049.74,0.0,1
2065,Special Education,Instruction,General Fund,Elementary (Pre-K),55974.125505555,1.0,3
2066,Special Education,Instruction,General Fund,Elementary DAEP,63948.21672769701,1.0,7
2067,Special Education,Instruction,General Fund,Homebound,523615.58241989,7.5,26
2068,Special Education,Instruction,General Fund,House,0.0,1.0,1
2069,Special Education,Instruction,General Fund,Independence,129571.51245708,3.0,6
2070,Special Education,Instruction,General Fund,Leadership Academy,72625.457443045,1.0,2
2071,Special Education,Instruction,General Fund,Pre-K Center,173667.4083252,4.0,6
2072,Special Education,Instruction,General Fund,Prekindergarten Demonstration School,350474.72202256,7.5,12
2073,Special Education,Instruction,General Fund,Primary Center,280514.488459,6.0,8
2074,Special Education,Instruction,General Fund,School ,59869573.48609732,1299.335,1873
2075,Special Education,Instruction,General Fund,Secondary Alternative Learning Center,531685.292811649,12.0,17
2076,Special Education,Instruction,General Fund,Special Ed Evaluation Services,58155.991715662,1.0,2
2077,Special Education,Instruction,General Fund,Special Education,339480.991222527,5.0,11
2078,Special Education,Instruction,General Fund,Special Education AH/VH,1537578.833769365,22.55,66
2079,Special Education,Instruction,General Fund,State Deaf,0.44,0.0,1
2080,Special Education,Instruction,General Fund,State Hospital,495556.05221148,9.0,20
2081,Special Education,Instruction,General Fund,,300707.98021178,6.0,10
2082,Special Education,Instruction,IDEA-B Formula,ABD,1614064.3185451,31.948,61
2083,Special Education,Instruction,IDEA-B Formula,Center,321413.5142385,6.0,11
2084,Special Education,Instruction,IDEA-B Formula,Early Childhood Center,69.63,0.0,1
2085,Special Education,Instruction,IDEA-B Formula,Elementary (Pre-K),0.44,0.0,1
2086,Special Education,Instruction,IDEA-B Formula,Independence,84.51,0.0,1
2087,Special Education,Instruction,IDEA-B Formula,Pre-K Center,70.25,0.0,1
2088,Special Education,Instruction,IDEA-B Formula,Prekindergarten Demonstration School,61789.19905140001,2.0,7
2089,Special Education,Instruction,IDEA-B Formula,Primary Center,74.1,0.0,1
2090,Special Education,Instruction,IDEA-B Formula,Response to Intervention,0.41999999999999993,0.0,2
2091,Special Education,Instruction,IDEA-B Formula,School ,5250630.7938986,140.79,338
2092,Special Education,Instruction,IDEA-B Formula,School for the Deaf,-0.61,0.0,1
2093,Special Education,Instruction,IDEA-B Formula,Special Ed Evaluation Services,3867.274,0.0,1
2094,Special Education,Instruction,IDEA-B Formula,Special Education,2243877.8180755,8.0,19
2095,Special Education,Instruction,IDEA-B Formula,Special Education AH/VH,756804.9247045,11.0,13
2096,Special Education,Instruction,IDEA-B Formula,State Deaf,88297.5294714,2.0,5
2097,Special Education,Instruction,IDEA-B Formula,State Hospital,591.55,0.0,1
2098,Special Education,Instruction,IDEA-B Formula,Summer School,5953.069,0.0,2
2099,Special Education,Instruction,IDEA-B Formula,,58585.138605700005,1.0,2
2100,Special Education,Instruction,IDEA-B Preschool,ABD,19888.92,0.0,6
2101,Special Education,Instruction,IDEA-B Preschool,Prekindergarten Demonstration School,44140.26415188,0.6000000000000001,4
2102,Special Education,Instruction,IDEA-B Preschool,School ,151784.638291,1.7,36
2103,Special Education,Instruction,IDEA-B Preschool,Special Education,334314.42,0.0,1
2104,Special Education,Instruction,IDEA-B Preschool,,0.65,0.0,1
2105,Special Education,Instruction,IDEA-B-Deaf,ABD,24665.013473299998,0.565,10
2106,Special Education,Instruction,IDEA-B-Deaf,School ,-0.34,0.0,1
2107,Special Education,Instruction,IDEA-B-Discretionary,ABD,17917.06,0.0,8
2108,Special Education,Instruction,IDEA-B-Preshool-Deaf,ABD,402.29,0.0,2
2109,Special Education,Instruction,IDEA-B-Preshool-Deaf,School ,6973.33189932,0.11,1
2110,Special Education,Instruction,IDEA-C-Early Intervention Deaf,ABD,3503.6499262800003,0.05,5
2111,Special Education,Instruction,School for the Deaf,ABD,169056.79435799998,2.45,4
2112,Special Education,Instruction,School for the Deaf,Prekindergarten Demonstration School,58648.5197567,0.9,2
2113,Special Education,Instruction,School for the Deaf,School ,172112.9160677,2.9000000000000004,7
2114,Special Education,Instruction,Visually Impaired,ABD,22384.77,0.0,8
2115,Special Education,Instructional Leadership,General Fund,ABD,2870.45568947,0.0,2
2116,Special Education,Instructional Leadership,General Fund,Homebound,399.0,0.0,1
2117,Special Education,Instructional Leadership,General Fund,Special Ed Evaluation Services,219248.52328204,3.75,7
2118,Special Education,Instructional Leadership,General Fund,Special Education,1299699.387438293,18.0,58
2119,Special Education,Instructional Leadership,General Fund,Special Education AH/VH,92974.4170707,2.0,5
2120,Special Education,Instructional Leadership,General Fund,State Deaf,103013.751519093,1.0,3
2121,Special Education,Instructional Leadership,IDEA-B Formula,Special Education,199037.6914128,4.0,7
2122,Special Education,Instructional Leadership,IDEA-B Preschool,Special Education,-0.26,0.0,2
2123,Special Education,Instructional Leadership,IDEA-B-Discretionary,State Deaf,99.97,0.0,1
2124,Special Education,Instructional Leadership,Visually Impaired,Special Education AH/VH,1200.29,0.0,3
2125,Special Education,Other,General Fund,ABD,57737.87625417,1.05,4
2126,Special Education,Other,General Fund,Center,10454.934576939999,0.0,5
2127,Special Education,Other,General Fund,Management Info System,91192.9262967,1.0,1
2128,Special Education,Other,General Fund,Park Concessions,-0.15,0.0,1
2129,Special Education,Other,General Fund,Special Education,74085.7865651,1.0,2
2130,Special Education,Other,General Fund,Transportation Office,10534858.314780017,296.7235,365
2131,Special Education,Other,General Fund,Undistributed Organization,1658105.2,0.0,1
2132,Special Education,Other,IDEA-B Formula,ABD,7976.36234757,0.1,1
2133,Special Education,Other,IDEA-B Formula,Center,158074.9199814,2.0,3
2134,Special Education,Other,IDEA-B Formula,"School, Family and Community Education",0.04,0.0,1
2135,Special Education,Other,IDEA-B Formula,Special Education AH/VH,7499.56,0.0,1
2136,Special Education,Other,IDEA-B Preschool,ABD,-0.28,0.0,1
2137,Special Education,Other,IDEA-B Preschool,Special Ed Evaluation Services,-0.17,0.0,2
2138,Special Education,Other,IDEA-B-Deaf,State Deaf,400.82,0.0,1
2139,Special Education,Other,IDEA-B-Discretionary,State Deaf,12349.630000000001,0.0,2
2140,Special Education,Other,Laundry Service,Center,158646.7629828,4.0,4
2141,Special Education,Other,School for the Deaf,ABD,67788.4949543,0.85,1
2142,Special Education,Other,Visually Impaired,Special Education AH/VH,0.78,0.0,1
2143,Special Education,School Leadership,General Fund,ABD,334296.53449989797,5.5,21
2144,Special Education,School Leadership,General Fund,Center,261885.744827685,4.0,12
2145,Special Education,School Leadership,General Fund,Independence,75.37,0.0,1
2146,Special Education,School Leadership,General Fund,School ,44526.4837597,1.0,32
2147,Special Education,School Leadership,General Fund,Secondary Alternative Learning Center,88.18,0.0,1
2148,Undistributed,Community Services,Campus Activity Funds,School ,6032.41,0.0,22
2149,Undistributed,Community Services,Child Care Program,School ,1248582.973037,38.533,47
2150,Undistributed,Community Services,Enterprise Funds,Unallocated,444239.6527274779,13.37,80
2151,Undistributed,Community Services,General Fund,Assoc Superintendent-High Schools,23999.81,0.0,1
2152,Undistributed,Community Services,General Fund,Community Education-After School Program,423519.97162994,4.625,17
2153,Undistributed,Community Services,General Fund,Community Education-South,8599.43804698,0.0,5
2154,Undistributed,Community Services,General Fund,Development/Community Partnership,6067.00687916,0.0,3
2155,Undistributed,Community Services,General Fund,Office of Planning and Community Relations,136739.187933346,1.5,6
2156,Undistributed,Community Services,General Fund,Primary Center,-1.05,0.0,1
2157,Undistributed,Community Services,General Fund,School ,197119.22854386,4.9,36
2158,Undistributed,Community Services,General Fund,"School, Family and Community Education",1059281.972710216,12.0,43
2159,Undistributed,Community Services,General Fund,Undistributed Organization,247137.37,0.0,1
2160,Undistributed,Community Services,General Operating Fund,School ,280.83,0.0,3
2161,Undistributed,Community Services,General Operating Fund,Unallocated,54341.2616796394,1.53,62
2162,Undistributed,Community Services,General Operating Fund,Undistributed,319060.86639377207,0.0,63
2163,Undistributed,Community Services,Locally Funded Special Revenue Funds,School ,12045.58,0.0,6
2164,Undistributed,Community Services,Locally Funded Special Revenue Funds,Unallocated,51238.37,0.0,1
2165,Undistributed,Community Services,Student Activity Account,"School, Family and Community Education",0.0,0.2,1
2166,Undistributed,Community Services,Title Iv Part B  Century Community Learning Ce,School ,138.07,0.0,1
2167,Undistributed,Curriculum & Instructional Staff Development,General Fund,Assoc Superintendent-Area ,40603.461211029,0.0,10
2168,Undistributed,Curriculum & Instructional Staff Development,General Fund,Assoc Superintendent-Area  Elementary ,11579.42434677,0.0,7
2169,Undistributed,Curriculum & Instructional Staff Development,General Fund,Assoc Superintendent-High Schools,24123.651378939998,0.0,9
2170,Undistributed,Curriculum & Instructional Staff Development,General Fund,Campus and District Accountability,999.59,0.0,1
2171,Undistributed,Curriculum & Instructional Staff Development,General Fund,College Readiness,75413.2175978,0.0,3
2172,Undistributed,Curriculum & Instructional Staff Development,General Fund,Core Curriculum,513419.430005407,3.0,25
2173,Undistributed,Curriculum & Instructional Staff Development,General Fund,Early Childhood,20118.3090897,0.0,7
2174,Undistributed,Curriculum & Instructional Staff Development,General Fund,Educator Development,0.15,0.0,1
2175,Undistributed,Curriculum & Instructional Staff Development,General Fund,Educator Quality ,2764324.225991983,17.5,114
2176,Undistributed,Curriculum & Instructional Staff Development,General Fund,Elementary Music,47717.795749,0.5,5
2177,Undistributed,Curriculum & Instructional Staff Development,General Fund,English,238571.97491039,1.49,13
2178,Undistributed,Curriculum & Instructional Staff Development,General Fund,Health Services,1000.18,0.0,1
2179,Undistributed,Curriculum & Instructional Staff Development,General Fund,Math,598983.705292714,1.0,13
2180,Undistributed,Curriculum & Instructional Staff Development,General Fund,Performing Arts ,25457.81030574,0.5,4
2181,Undistributed,Curriculum & Instructional Staff Development,General Fund,Physical Education,64629.7244531,1.0,3
2182,Undistributed,Curriculum & Instructional Staff Development,General Fund,Program ABC,-0.27,0.0,1
2183,Undistributed,Curriculum & Instructional Staff Development,General Fund,Response to Intervention,36446.48225545,0.0,3
2184,Undistributed,Curriculum & Instructional Staff Development,General Fund,School ,1834718.361797489,22.48,398
2185,Undistributed,Curriculum & Instructional Staff Development,General Fund,Science and Health,441111.83791471,2.25,16
2186,Undistributed,Curriculum & Instructional Staff Development,General Fund,Science/Health Res Ctr,65544.96706540001,0.0,1
2187,Undistributed,Curriculum & Instructional Staff Development,General Fund,Second Languages/Journalism,11003.45052449,0.0,4
2188,Undistributed,Curriculum & Instructional Staff Development,General Fund,Social Studies,225536.803884975,2.0,12
2189,Undistributed,Curriculum & Instructional Staff Development,General Fund,Special Programs,800.860306198,0.0,2
2190,Undistributed,Curriculum & Instructional Staff Development,General Fund,Strategic Compensation Initiative,10066970.045678444,2.0,19
2191,Undistributed,Curriculum & Instructional Staff Development,General Fund,Undistributed Organization,526036.79,0.0,1
2192,Undistributed,Curriculum & Instructional Staff Development,General Fund,Visual Arts,6373.08690218,0.0,9
2193,Undistributed,Curriculum & Instructional Staff Development,General Fund,,93010.3798993,0.0,7
2194,Undistributed,Curriculum & Instructional Staff Development,National Wildlife Federation,Science and Health,70997.10356569999,1.0,1
2195,Undistributed,Curriculum Development And Instructional Staff Dev,Advanced Plancement International Baccalaurate Inc,School ,-369.9699999999999,0.0,2
2196,Undistributed,Curriculum Development And Instructional Staff Dev,Campus Activity Funds,School ,65463.167466366904,0.0,122
2197,Undistributed,Curriculum Development And Instructional Staff Dev,General Operating Fund,School ,65158.5974925367,0.0,120
2198,Undistributed,Curriculum Development And Instructional Staff Dev,General Operating Fund,Unallocated,125982.5228452629,0.0,241
2199,Undistributed,Curriculum Development And Instructional Staff Dev,General Operating Fund,Undistributed,596535.7167303137,0.0,317
2200,Undistributed,Curriculum Development And Instructional Staff Dev,Intensive Reading Instruction Initiative Grant,School ,17005.507339004,0.0,10
2201,Undistributed,Curriculum Development And Instructional Staff Dev,Locally Funded Special Revenue Funds,School ,141765.887849783,2.0,12
2202,Undistributed,Curriculum Development And Instructional Staff Dev,Locally Funded Special Revenue Funds,Unallocated,347897.81,0.0,7
2203,Undistributed,Curriculum Development And Instructional Staff Dev,Locally Funded Special Revenue Funds,Undistributed,3840.85,0.0,4
2204,Undistributed,Curriculum Development And Instructional Staff Dev,Other State Grants,School ,648.4,0.0,3
2205,Undistributed,Curriculum Development And Instructional Staff Dev,Title Iv Part B  Century Community Learning Ce,School ,10748.230000000001,0.0,9
2206,Undistributed,"Guidance, Counseling and Evaluation Services",Fund (Employee Appreciation Fund),Guidance & Counseling,65279.1779857,1.0,1
2207,Undistributed,"Guidance, Counseling and Evaluation Services",General Fund,Assoc Superintendent-High Schools,85999.96,0.0,1
2208,Undistributed,"Guidance, Counseling and Evaluation Services",General Fund,Chief Performance Officer,289249.487182865,2.0,14
2209,Undistributed,"Guidance, Counseling and Evaluation Services",General Fund,Chief School Office,124998.92,0.0,1
2210,Undistributed,"Guidance, Counseling and Evaluation Services",General Fund,College Readiness,62587.2870905,1.0,1
2211,Undistributed,"Guidance, Counseling and Evaluation Services",General Fund,Core Curriculum,429525.75275825,0.0,10
2212,Undistributed,"Guidance, Counseling and Evaluation Services",General Fund,Educational Support Services,83644.26,0.0,1
2213,Undistributed,"Guidance, Counseling and Evaluation Services",General Fund,Guidance & Counseling,293539.148801443,0.0,17
2214,Undistributed,"Guidance, Counseling and Evaluation Services",General Fund,Learning Support Services,524.390856523,0.0,1
2215,Undistributed,"Guidance, Counseling and Evaluation Services",General Fund,Office of Program Evaluation,815979.144954576,7.7166,44
2216,Undistributed,"Guidance, Counseling and Evaluation Services",General Fund,School ,7689197.39740809,130.72,209
2217,Undistributed,"Guidance, Counseling and Evaluation Services",General Fund,Special Ed Evaluation Services,55539.823980224995,1.0,5
2218,Undistributed,"Guidance, Counseling and Evaluation Services",General Fund,Substitute,76469.5215763,0.0,1
2219,Undistributed,"Guidance, Counseling and Evaluation Services",General Fund,System Wide Testing,1149894.774877797,8.0,33
2220,Undistributed,"Guidance, Counseling and Evaluation Services",General Fund,Unallocated Cost Budget,58204.46,0.0,1
2221,Undistributed,"Guidance, Counseling and Evaluation Services",General Fund,Undistributed Organization,898209.8,0.0,1
2222,Undistributed,"Guidance, Counseling and Evaluation Services",General Fund,,15000.22,0.0,1
2223,Undistributed,"Guidance, Counseling and Evaluation Services",Student Activity Account,School ,34726.4850728,0.5,1
2224,Undistributed,"Guidance, Counseling and Evaluation Services",Student Activity Account,"School, Family and Community Education",7016.44145868,0.12,1
2225,Undistributed,"Guidance, Counseling and Evaluation Services",Title IV- Safe & Drug Free,Office of Program Evaluation,33869.05936779999,0.5,1
2226,Undistributed,Instruction,General Fund,Assoc Superintendent-Area ,4009.8657155,0.0,1
2227,Undistributed,Instruction,General Fund,Assoc Superintendent-Area  Elementary ,1200.5202962000003,0.0,2
2228,Undistributed,Instruction,General Fund,Assoc Superintendent-High Schools,1404599.32089124,0.0,8
2229,Undistributed,Instruction,General Fund,Central Warehouse,3754933.15,0.0,2
2230,Undistributed,Instruction,General Fund,College Readiness,922971.4635266999,0.0,7
2231,Undistributed,Instruction,General Fund,Core Curriculum,31719.226844700006,0.0,2
2232,Undistributed,Instruction,General Fund,Early Childhood,197840.61721442,0.0,6
2233,Undistributed,Instruction,General Fund,Elementary Music,8019.26384946,0.0,1
2234,Undistributed,Instruction,General Fund,English,12080.602165459999,0.0,2
2235,Undistributed,Instruction,General Fund,Health Services,4008.9957155,0.0,2
2236,Undistributed,Instruction,General Fund,Math,489102.54023989994,0.0,4
2237,Undistributed,Instruction,General Fund,Performing Arts ,346031.8859917,0.0,9
2238,Undistributed,Instruction,General Fund,Physical Education,69239.6041257,0.0,4
2239,Undistributed,Instruction,General Fund,Response to Intervention,5462.07225545,0.0,1
2240,Undistributed,Instruction,General Fund,School ,156213.10492682602,3.0,8
2241,Undistributed,Instruction,General Fund,Science and Health,458127.8421733,0.0,11
2242,Undistributed,Instruction,General Fund,Science/Health Res Ctr,15036.9999793,0.0,1
2243,Undistributed,Instruction,General Fund,Second Languages/Journalism,32872.31606076,0.0,3
2244,Undistributed,Instruction,General Fund,Social Studies,32772.9335327,0.0,1
2245,Undistributed,Instruction,General Fund,Substitute,912119.928997,0.0,28
2246,Undistributed,Instruction,General Fund,Unallocated Cost Budget,860000.32,0.0,2
2247,Undistributed,Instruction,General Fund,Undistributed Organization,19579034.08,0.0,2
2248,Undistributed,Instruction,General Fund,Visual Arts,8722.42171909,0.0,2
2249,Undistributed,Instruction,General Fund,,10925.0945109,0.0,1
2250,Undistributed,Instruction,General Operating Fund,School ,377.65,0.0,2
2251,Undistributed,Instruction,General Operating Fund,Unallocated,87.96,0.0,1
2252,Undistributed,Instruction,Locally Funded Special Revenue Funds,School ,485.64,0.0,3
2253,Undistributed,Instruction,Support for Homeless Education,Undistributed,5942.22,0.0,1
2254,Undistributed,Instructional Leadership,American Indian Educ. Proj.,"School, Family and Community Education",46666.8536778,0.5,11
2255,Undistributed,Instructional Leadership,Fund (Employee Appreciation Fund),Future Problem Solving,70475.9011643,0.75,1
2256,Undistributed,Instructional Leadership,General Fund,Accountability,41115.649999999994,0.0,2
2257,Undistributed,Instructional Leadership,General Fund,Assoc Superintendent-Area ,362576.10323918104,3.0,22
2258,Undistributed,Instructional Leadership,General Fund,Assoc Superintendent-Area  Elementary ,995726.198293868,8.4,46
2259,Undistributed,Instructional Leadership,General Fund,Assoc Superintendent-High Schools,543365.244949916,4.0,21
2260,Undistributed,Instructional Leadership,General Fund,Campus and District Accountability,699989.4720788831,6.0,22
2261,Undistributed,Instructional Leadership,General Fund,Chief Academic Officer,434263.633672895,3.0,18
2262,Undistributed,Instructional Leadership,General Fund,Chief School Office,358490.017867965,3.0,16
2263,Undistributed,Instructional Leadership,General Fund,Core Curriculum,103948.33679377999,0.0,10
2264,Undistributed,Instructional Leadership,General Fund,Curriculum and Instruction ,-0.53,0.0,1
2265,Undistributed,Instructional Leadership,General Fund,Early Childhood,360995.882295486,4.0,25
2266,Undistributed,Instructional Leadership,General Fund,Educational Support Services,3394.6465459929996,0.0,2
2267,Undistributed,Instructional Leadership,General Fund,Elementary Music,81165.253356285,1.0,8
